epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.9229,1.74997,2.62258,1.70903,0.03307,0.14167,0.02255,0.00768,2.12636,55.0481,2.68197,0.000647059,0.000647059,0.000647059
2,295.203,1.83135,2.14498,1.80766,0.00247,0.275,0.0022,0.00079,3.46477,inf,45.7078,0.00128771,0.00128771,0.00128771
3,421.852,1.92857,2.22596,1.87353,0.00184,0.15,0.00095,0.00029,5.06216,inf,1146.94,0.00190197,0.00190197,0.00190197
4,601.398,1.89732,2.13549,1.8217,0.00138,0.09167,0.00054,0.0001,4.44923,inf,89.019,0.0018812,0.0018812,0.0018812
5,725.003,1.85566,2.02024,1.83533,0.00016,0.025,8e-05,2e-05,5.11926,inf,34.3955,0.0018416,0.0018416,0.0018416
6,963.809,1.81763,1.95204,1.76461,0.34143,0.39167,0.27013,0.10448,1.94382,4.08198,2.06641,0.001802,0.001802,0.001802
7,1072.44,1.78894,1.86756,1.72105,0.14443,0.39167,0.09164,0.03409,2.14724,7.605,2.25669,0.0017624,0.0017624,0.0017624
8,1230.7,1.73674,1.76365,1.72711,0.66777,0.425,0.4984,0.21082,1.7934,2.80284,1.82852,0.0017228,0.0017228,0.0017228
9,1339.53,1.68934,1.68451,1.63012,0.51521,0.5,0.47355,0.20265,1.84777,2.69859,1.9646,0.0016832,0.0016832,0.0016832
10,1472.34,1.69498,1.67235,1.68392,0.12277,0.175,0.05275,0.01846,2.26323,3.98519,2.55357,0.0016436,0.0016436,0.0016436
11,1562.42,1.61648,1.65532,1.62664,0.52492,0.35833,0.43013,0.19976,1.8208,1.81503,1.93048,0.001604,0.001604,0.001604
12,1712.51,1.63535,1.65567,1.6563,0.56206,0.4706,0.52574,0.23138,1.95362,2.04124,1.95286,0.0015644,0.0015644,0.0015644
13,1838.65,1.60823,1.56016,1.59732,0.67573,0.60833,0.58802,0.27917,1.64826,1.71369,1.663,0.0015248,0.0015248,0.0015248
14,1999.14,1.58067,1.47923,1.54995,0.66902,0.525,0.57398,0.25222,1.7675,1.69987,1.89506,0.0014852,0.0014852,0.0014852
15,2117.37,1.57637,1.48966,1.57896,0.64556,0.55,0.56037,0.27048,1.54441,1.44143,1.58507,0.0014456,0.0014456,0.0014456
16,2311.09,1.50812,1.40709,1.5112,0.61492,0.45833,0.54711,0.26373,1.67814,1.48194,1.72729,0.001406,0.001406,0.001406
17,2416.92,1.52315,1.42275,1.52878,0.68022,0.60833,0.62095,0.31301,1.60649,1.31362,1.71677,0.0013664,0.0013664,0.0013664
18,2598.93,1.50754,1.36846,1.544,0.6513,0.63819,0.67036,0.33469,1.57012,1.43129,1.69679,0.0013268,0.0013268,0.0013268
19,2689.71,1.44046,1.38867,1.47662,0.67282,0.63407,0.62871,0.29078,1.64993,1.39812,1.72073,0.0012872,0.0012872,0.0012872
20,2887.32,1.46845,1.35942,1.48695,0.64,0.65,0.63338,0.2975,1.66872,1.48992,1.68716,0.0012476,0.0012476,0.0012476
21,3007.59,1.49614,1.34888,1.50258,0.72106,0.64627,0.68674,0.36674,1.72665,1.24964,1.77773,0.001208,0.001208,0.001208
22,3224.89,1.44694,1.32898,1.48772,0.7373,0.66667,0.71767,0.36018,1.60668,1.29519,1.69154,0.0011684,0.0011684,0.0011684
23,3307.82,1.42534,1.23412,1.47324,0.73234,0.64167,0.69683,0.35704,1.63407,1.27139,1.65584,0.0011288,0.0011288,0.0011288
24,3440.48,1.42283,1.25351,1.48631,0.7255,0.65833,0.68699,0.34519,1.6295,1.35427,1.70463,0.0010892,0.0010892,0.0010892
25,3531.58,1.40839,1.17803,1.44426,0.74802,0.65,0.69455,0.3584,1.5303,1.24559,1.63137,0.0010496,0.0010496,0.0010496
26,3686.3,1.36995,1.18012,1.43735,0.6741,0.625,0.67197,0.35225,1.62752,1.32786,1.66562,0.00101,0.00101,0.00101
27,3785.46,1.35898,1.17926,1.44322,0.6733,0.65264,0.68354,0.35721,1.69328,1.23462,1.75277,0.0009704,0.0009704,0.0009704
28,3963.24,1.37216,1.149,1.43695,0.69558,0.60833,0.69185,0.36364,1.58722,1.13209,1.68225,0.0009308,0.0009308,0.0009308
29,4057.67,1.34383,1.12885,1.41953,0.83872,0.575,0.69892,0.36535,1.53995,1.16053,1.73372,0.0008912,0.0008912,0.0008912
30,4259.29,1.36723,1.15295,1.41653,0.77008,0.65833,0.71575,0.3702,1.6137,1.27955,1.67157,0.0008516,0.0008516,0.0008516
31,4357.35,1.33507,1.10896,1.40377,0.72592,0.64167,0.69865,0.38606,1.51093,1.14123,1.57626,0.000812,0.000812,0.000812
32,4611.25,1.3095,1.0723,1.37643,0.69211,0.73057,0.74933,0.38712,1.52723,1.05589,1.58036,0.0007724,0.0007724,0.0007724
33,4742.43,1.29818,1.05751,1.37758,0.774,0.6,0.70623,0.39268,1.55041,1.08954,1.5817,0.0007328,0.0007328,0.0007328
34,4891.8,1.34159,1.04566,1.38809,0.80683,0.63333,0.77303,0.42023,1.47073,1.08469,1.53925,0.0006932,0.0006932,0.0006932
35,4968.29,1.29371,1.00954,1.37149,0.81004,0.66667,0.77765,0.43509,1.53519,0.93136,1.61037,0.0006536,0.0006536,0.0006536
36,5189.21,1.26089,0.97411,1.38036,0.84861,0.60833,0.75013,0.40794,1.50144,0.9718,1.59416,0.000614,0.000614,0.000614
37,5261.56,1.25841,0.98926,1.34569,0.77714,0.72651,0.77815,0.41995,1.50567,0.94364,1.5744,0.0005744,0.0005744,0.0005744
38,5457.87,1.27079,0.99718,1.36975,0.72436,0.70078,0.75162,0.40391,1.57763,0.98934,1.63676,0.0005348,0.0005348,0.0005348
39,5574.14,1.26684,0.95656,1.37885,0.70538,0.75,0.78484,0.44046,1.51507,1.08789,1.57338,0.0004952,0.0004952,0.0004952
40,5670.32,1.24937,0.9441,1.33968,0.75759,0.72925,0.78221,0.4273,1.46206,0.9047,1.53348,0.0004556,0.0004556,0.0004556
41,5766.74,1.24973,0.93551,1.37806,0.75452,0.7,0.73303,0.43069,1.45232,0.99143,1.55852,0.000416,0.000416,0.000416
42,5996.94,1.20976,0.8656,1.36495,0.74568,0.79167,0.79063,0.46466,1.35985,0.93288,1.48733,0.0003764,0.0003764,0.0003764
